,Beer,Combined_Rating,Review
18,Breakfast Stout,4.75,"Poured from a 12-oz bottle into a pint glass.

Appearance: Very dark brown, nearly black, with a dark tan head so thick that it required multiple gradual pourings to prevent overflowing the glass. Moderate lacing.

Nose: Dark roast, stone fruit, brown sugar, coffee — there’s a lot going on here.

Mouthfeel: Creamy, moderately thick.

Attack: Dark roast, coffee, chocolate, smooth — plenty going on here, too.

Finish: Alcohol, and bitterness from the dark roast that balances everything wonderfully.

Overall: It’s hard to imagine how an American Oatmeal Stout could be any better than this — so full, smooth, and well-balanced. There’s nothing I’d rather drink with Biscuits and Gravy, but it’s also going very well this morning with goetta and scrambled eggs. This beer deserves every bit of its high ratings."
19,Breakfast Stout,4.39,"Poured into a nonic glass at about fridge temp, but letting warm up.

Pours dark black with a tall almost gusher tan head. 4

Aroma is big and strong, roasty coffee and a touch of sweetness. 4.25

Again, strong and just bitter enough black coffee, some dark and roasty malts and lingering slightly bitter finish. 4.5

Smooth body and very easily drinkable for the higher abv, no sign of booze or burn, but a bit warming in the chest as I keep sipping. 4.25"
20,90 Minute IPA,4.83,
21,90 Minute IPA,4.46,
22,90 Minute IPA,4.82,"Perfect example of an IPA. 

One of the best ""mainstream"" IPAs out there"
23,90 Minute IPA,3.16,
24,90 Minute IPA,4.89,"What’s not to like? Amazing flavors, mouthfeel and great abv. A truly enjoyable beverage"
25,90 Minute IPA,3.78,
26,90 Minute IPA,5.0,"Type: IPA
Taste: Intense, balanced, and hop-forward
Color: Deep amber

A standout example of the IPA style. Pours a deep amber, intense and well balanced.
Strong hop, blends pine, citrus and resinous hops. Memorable impression. One of my favourites."
27,90 Minute IPA,4.72,I came across this on a recent rail tour of the US. It’s available in the cafe car on most of Amtrak’s long distance services. It looks like there’s no requirement to state the abv of beers at the point of sale as I didn’t realise it was 9% til I had the first sip! Lovely stuff though sadly not available in the UK.
28,90 Minute IPA,4.51,
29,90 Minute IPA,5.0,One of my favorite dipa ish IPAs. It has a wonderful full bodied dipa taste but doesn't hit you like a higher alcohol ipa. I love the higher ibu that seems to be lacking in many ipa's these days.
30,90 Minute IPA,3.1,"Look: sap color orange
Smell: hoppy, malty, slightly citrusy and piney hop
Taste: piney hop, rind/pithe, malt, some sweetness in there, slight bitterness that starts to build up but then just kinda doesnt (if that makes any sense)
Feel: Nice full boy, low carbonation (the feel of this beer might be my favorite thing about it)
Overall: Pretty crushable, fairly tame, nothing too offensive. That being said, nothing stands out, but I suppose you could also say that just means its well balanced. Not my cup for IPA's, but good 

*poured from a can on clearance that ""expires"" in 4 months, so I def think this needs a revisit with a fresh brew."
31,90 Minute IPA,3.11,"Pours an opaque rusty orange, thin collar of head with good retention and no lacing. Nose is sappy hops and malt, low grade maple syrup, cooked barley and kasha, honey sticks. Taste essentially follows - malts are sweet (honey, maple, sap), while the hops impart a pretty tame bitterness and light spice. Mouthfeel, despite the sweetness and heft, isn't too heavy, while the carbonation stays light. 90 Minute tastes like an ingredient to me - it has a distinct taste (sweet, spicy, sappy honey) - that might make up the main seasoner in a muffin or a sweet bread. On its own, however, it's a little too overpowering to be enjoyable. I remember 90 minute being this huge outlier when it came out, and weirdly, it still is in terms of its flavor profile among imperial IPAs."
32,90 Minute IPA,4.53,"Very smooth almost chewy. My 1st time with this world class IPA today and I am impressed. The alcohol is there and you should be prepared for it, but overall the taste smell finish and mouth feel was excellent"
33,90 Minute IPA,4.04,
34,90 Minute IPA,4.09,
35,90 Minute IPA,4.59,"From Siciliano’s Market in Grand Rapids - had several times but now a few years - will not wait that long again.
Pours a clear orange amber colour with slightly tawny coloured head that replenishes nicely with a little swirl.
Nose is at once hoppy with citrus rind, tangerine, a touch of tropical fruit and floral aroma , but solidly malty with a subtle caramel note.
Taste is a barrage of hops - piney, citrus, orange, pineapple and marmalade with a bitterness that is tamed by the sweet toasted malt with hints of caramel and honeysuckle.
A sticky slightly resinous full mouthfeel finishes this with a coating bittersweetness."
36,90 Minute IPA,4.81,"Easily my favorite imperial IPA and possibly IPA period.

Pours a beautiful crystal clear amber color with a tan-white head that long persists as a rim.

Aroma is very strongly floral and earthy.

Despite being rated as 90 IBUs this is not a bitter beer thanks to the adequate amount of malt being added to balance the hops. The flavor is citrusy and earth with a crisp finish, making this an easy drinking beer despite its high ABV.

Really just the ideal poster child for the style of IPAs as a whole."
37,90 Minute IPA,4.21,"12 ounce bottle poured into a snulip.
Best by 7/2023

L: Clear amber, two fingers of antique-white head, the persistent foam leaves lace.
S: Kind of a malty aroma with notes of citrus and pine.
T: Earthy hops with less citrus than the nose but grapefruit and pine, medium sweet malt, herbal tea note, nice malt-hop balance, moderate bitterness spikes at the finish. 
F: Medium body, moderate carbonation, smooth frothy feel, peppery finish.
O: Very drinkable, balanced, well done classic style DIPA."
38,90 Minute IPA,4.46,
39,90 Minute IPA,4.37,
40,Two Hearted IPA,4.27,"Not too hoppy, just as good room temperature as ice cold.
Better from bottle. Wife doesn’t like it so it’s my go-to beer when camping.
Reasonably priced in my area."
41,Two Hearted IPA,3.9,"12oz can with date code 062823. Served in a pint glass. Bit coppery color, orange amber, with a thick white head. Very nice start. Old school AIPA aromas of citrus and maybe some pine. Really substantial mouthfeel owing to a solid malt backbone with some crystal malts along with a creamy load of carbonation. Maybe even oats in the mash? But anyway, this is an IPA, and it brings along a very reasonable level of bitterness and piny goodness. Makes me think of Dogfish 60 minute in terms of flavor profile, turned up just a little bit, but not as far as 90.

I've been hearing about this middle-of-the-country beer for years and I'm not disappointed having finally tried it!"
42,Two Hearted IPA,3.58,A staple if you will. Gets better as it warms. Decent IPA. Not too much hops.
43,Two Hearted IPA,5.1,
44,Two Hearted IPA,3.51,"Not a huge IPA guy, this was ok. A little too hoppy. Won’t buy again"
45,Two Hearted IPA,4.57,"Wonderful medium-strength IPA with beautiful and nicely balanced flavors of pine and tropical fruits. Ideal for winter/fall as this beer will warm your souls. A bit heavy for warm days, can feel like a meal."
46,Two Hearted IPA,9.48,
47,Two Hearted IPA,4.51,
48,Two Hearted IPA,4.36,"An American pale ale at its most defining characteristic. I’ve grown to love centennial hops and this seems to be available at many stores which, as much as I love local craft brews (especially around Chicago, like 3 Floyds and Revolution), distribution is key for a transient graduate student as myself who loves consistent tasty beers at reasonable prices. This beer holds its freshness compared to other American IPAs which need to be consumed within 6-8 weeks."
49,Two Hearted IPA,4.27,
50,Two Hearted IPA,4.3,
51,Two Hearted IPA,4.09,
52,Two Hearted IPA,4.5,"Bells Two Hearted is a classic IPA that I can't be mad at. It's the kind of beer that I'll happily buy at a bar and not be disappointed. The look of the beer is see through. The smell is mostly a classic balance of hops and malt. The taste and feel is nothing different. There are only a few IPAs that I like better because they have more West Coast hops, but this beer is as reliable and classic as it comes."
53,Two Hearted IPA,4.53,"Pours a rich gold color, clear with a foamy white head. Smells a little of pine bitterness. Taste is well balanced, caramel malt flavor with a dry bitter finish."
54,Two Hearted IPA,4.71,
55,Two Hearted IPA,5.0,For many years I've read about how good this beer is...but it wasn't available. About 2 weeks ago I found it at a local store in the 22 oz can section and couldn't believe my eyes. YES..this beer lives up to all the rave reviews. In a world where there are so many great IPAs...this one stands out.
56,Two Hearted IPA,4.66,So darn good had to force it down my mama's throat!
57,Two Hearted IPA,4.0,
58,Two Hearted IPA,4.39,"L - Golden with a good amount of clarity and a white head that sticks around a bit, leaving behind a thin cap and some lacing 
S - juicy, piney, floral hops along with bright tropical fruit notes along with citrus, some malt 
T - juicy, piney, floral hops up front intermixed well with tropical fruit notes - pineapple, passion fruit, some citrus, along with crackery malt 
F - medium bodied with moderate carbonation. Juicy
O - a very well balanced, classic IPA"
59,Two Hearted IPA,4.15,
60,Pliny The Elder,4.68,"L - light yellow golden with a ton of clarity, a white head that dissipates quickly leaving behind a thin cap and a good amount of lacing 
S - Bright, floral piney hops along with notes of citrus zest
T - Follows the nose: bright, fresh, floral, pine, slightly bitter hops up front and throughout intermixed well with notes of citrus - candied grapefruit, orange zest - cracker malt, a little bit of honey, grass notes 
F - light to medium bodied with moderate carbonation - bright, fresh, crispy - very clean 
O - one of the benchmarks for the West Coast IPA style. Incredibly well balanced and easy to drink. Glad to have finally gotten my hands on it"
61,Pliny The Elder,4.23,Solid.
62,Pliny The Elder,4.29,
63,Pliny The Elder,4.94,
64,Pliny The Elder,4.25,"Served in an imperial nonic pint glass

This beer pours a golden hue and is topped with a couple inches of off-white head that leaves nice lacing.

It has a real nice fruity citrus aroma. I get a little pine. 

Nice balance of citrus and pine flavors. A little bit of lingering resin in the finish

Very good IIPA. It's one of the pioneers. As with all trailblazers newer and better beers come along. I live in Ohio and am very happy that I can drink Hop Juju. Someday it, too, will be a trailblazer in the rear-view mirror of my lifelong beer trek."
65,Pliny The Elder,5.0,
66,Pliny The Elder,4.75,
67,Pliny The Elder,4.5,
68,Pliny The Elder,4.35,
69,Pliny The Elder,5.0,Pliny is really difficult to find in Southern Cal but I finally tried one for the first time at the Russian River brew pub in Santa Rosa. It was on tap so super fresh. I think it is probably the most well balanced DIPA I ever tried. I now understand the hype!
70,Pliny The Elder,4.62,
71,Pliny The Elder,4.67,
72,Pliny The Elder,4.9,
73,Pliny The Elder,4.62,"An excellent brew. Without taking anything away from Pliny, I prefer Heady Topper & Sip of Sunshine."
74,Pliny The Elder,4.68,
75,Pliny The Elder,4.63,
76,Pliny The Elder,5.0,
77,Pliny The Elder,4.44,"My first Pliny. 2 week old bottle, so quite fresh. Extremely well dialed in, almost leaves a piney resin on your lips and tongue."
78,Pliny The Elder,5.0,
79,Pliny The Elder,3.5,
80,Heady Topper,4.83,
81,Heady Topper,4.96,"For me this is the GOAT. Don’t want to repeat what has already been said, but it just has an unbelievable balance and a je ne sais quoi that is extremely satisfying to enjoy. A beer that elevates the experience from a tasty beverage to something to transform the simple act of drinking into something more thought provoking. Also, for me it is much more balanced than Focal, which some prefer. Cheers."
82,Heady Topper,4.52,"Poured from a 16 ounce can dated 7-31-23 into a teku glass.

Look- Medium gold, very hazy, frothy white head, above average head retention and lacing.

Smell- Pine resin, clementine, nectarine, dank, earthy, medium strength of scent.

Taste- Pine resin, clementine, pithy, pineapple, herbaceous, high strength of flavor.

Feel- Between medium and full body, average carbonation, highly creamy, moderately bitter, mildly mouth warming, mildly dry finish.

Overall- Medium gold and very hazy with above average head retention and lacing. Bouquet was medium strength with notes of pine resin, clementine, nectarine and dankness. Flavor was a great mix of pine resin, clementine, pith and pineapple. Feel was between medium and full body, mildly mouth warming and highly creamy. Overall this beer provided a great drinking experience and was much more of a mix between a West Coast IPA and NEIPA, than a true NEIPA from todays standards."
83,Heady Topper,5.31,
84,Heady Topper,5.5,
85,Heady Topper,4.75,
86,Heady Topper,4.7,
87,Heady Topper,4.71,
88,Heady Topper,5.0,
89,Heady Topper,4.76,"L - Hazy, yellow golden with a frothy white head that sticks around leaving behind a good amount of lacing 
S - Bright, fresh, piney, resinous, bitter, floral hops. Malt and grass. 
T - Fresh, piney, resinous, floral, bitter hops up front and throughout, intermixed well with malt and cracker notes along with grass as well as citrus - grapefruit - and apricot Dank on the backend 
F - medium bodied with moderate carbonation. Crisp, refreshing 
O - An incredibly well rounded imperial IPA."
90,Heady Topper,4.53,
91,Heady Topper,5.0,
92,Heady Topper,4.5,Yeah ok it’s very good. Great hop flavor. Price point is a bit much but def worth the investment now and again. So seek it out if you can find it and enjoy!
93,Heady Topper,5.0,
94,Heady Topper,4.68,
95,Heady Topper,5.0,
96,Heady Topper,4.37,"I had a chance to visit the brewery and have Heady Topper on tap, and bring a few home for a more in depth tasting.

Aside from knowing its fame, I knew little else. My first thoughts were it was not quite as hazy as I expected. Secondly, upon tasting I was surprised to find it reminded me more of a western IPA than an NEIPA. Not that its a bad thing, I'm just preferential to hazy beers with grapefruit that you cannot see into. Most of my experience is with NY based NEIPAs which do seem a bit different than Vermont.

Smell - It seemed more floral than fruity. The alcohol content also shone through a bit.

Taste - Wow. No IBU rating on can but this has to be 60+ but not so much as to be a distraction in the taste. The flavor really helps balance the bitterness. The pine and resin was strong, albeit weaker than some great west coast IPA's I have had. This was followed by a complex fruitiness that was beyond me to completely identify. No massive grapefruit or citrus flavor I could identify, maybe a complex mixture of blackberry and blood orange would be the most apt description.

The aftertaste was ... dark, damp, and lasting. In a great way. To me the ten seconds after the drink was probably the best part of the beer. The stronger alcohol content was very warming while the flavor was ... dark, but also releasing more taste as the seconds ticked by.

And I must say I loved the brewery. Beautiful and great staff. I literally stayed a 3 minute walk from it. My only concern was it was a touch small on the inside seating area, the food options were not strong and it closes at 6PM. Another downside (lol) was the number of very good breweries within 15 minutes, I only was able to make one trip here due to committing to other breweries and the early closing hour."
97,Heady Topper,4.54,"What? I never rated Heady Topper! Great 'tude. Greater Vt. 
My sister brings this to me from Vt. 
a) Hazed golden standard with lace and last - tho brewer encourages us to drink from can, which in a taste test turns out to be great advice. 
s) Baked good floating an herbal, piney, floral sea. 
t) Follows aroma through the full see saw of sweet and bitter, woody, earthy, piney, dank, floral. 
f) Smooth, tongue kissy.
o) Deserves it's pinnacle marks."
98,Heady Topper,4.84,
99,Heady Topper,4.8,The original! Beer is incredibly hoppy and flavorful strong dank tones. This beer is good.
100,Sculpin,4.42,"This beer, and Bell’s Two Hearted Ale, are the best two widely distributed old school IPAs in America. This one leans bitter and the other leans sweet. Both are exceptional and difficult to surpass. Cheers!"
101,Sculpin,5.17,
102,Sculpin,4.57,"It’s my favorite among American IPAs. Has slightly sour taste but comes across as very fruity. Unfortunately, this beer (and the grapefruit version, which is perhaps the even more gifted sibling) is hardly ever available around where I live."
103,Sculpin,5.0,This is a ridiculously good beer. Unfortunately we can't seem to get it any more here in Texas. Bottles are always better than cans.
104,Sculpin,4.43,
105,Sculpin,3.4,"Pour clear and golden, but the head doesn't last long.
Aromas of apples and light flowery, with medum strength.
Taste is juicy enough, but I'm getting a bit of harshness, like carbonation. I don't get the high ratings of this one?
Not very thick in the mouth. Feels like carbonation when you leave on your tongue.

Overall - i will not buy this one again. Just not that impressed."
106,Sculpin,4.57,"This is the best West Coast American IPA I have ever had. The hops taste crisp and go great with food - particularly crabs, fried seafood, and steak. Truly a world class beer!"
107,Sculpin,4.74,
108,Sculpin,4.61,One of my favorites!
109,Sculpin,4.23,
110,Sculpin,3.78,"12oz can PKG 031323 (2 months ago) poured into a Spiegelau IPA glass at fridge temp 7% ABV. The beer pours bright light amber with light khaki head. The head recedes to an irregular ring and rocky cap. Slight lacing. The aroma is mild with light citrus, pine and caramel. The taste is bittersweet piney, citrus with relatively weak caramel malt. Strong bitterness. Mouthfeel is thin to medium bodied with average carbonation and mostly dry finish. Overall, good, but not the world class IPA it once was..."
111,Sculpin,4.64,
112,Sculpin,4.15,"Great San Diego IPA. Lovely goldenrod color, big bouquet aroma, big head that lasts most of the way through the glass. It's lovely.
Plenty of apricot, lemon, and maybe cantaloupe aromas, big piney-lemony-tropical hop flavor, nice viscous body. This is a winner.
Cans were on sale -- I never pay full price for Sculpin. It's great for them that they have pricing power and can extract a $2, 3, or even $5 price premium per 6-pack, but there are probably ten other IPAs I enjoy as much or more, and they're cheaper. If I can get in for $12/6, Sculpin is a solid choice. That's not very frequent, which, again, is good for Ballast Point Brewing."
113,Sculpin,3.5,
114,Sculpin,4.1,
115,Sculpin,6.04,
116,Sculpin,3.9,"Not a big fan. Too floral, malty. Carbonated"
117,Sculpin,4.43,Classic west coast IPA honestly prefer this one over the iconic Stone IPA give both a try and see which one you like the most
118,Sculpin,4.08,"Smells great with an exquisite finish. with a citrus like smell. Hops pull through and is strong and lasts until aftertaste. Solid beer, but prefer the visuals and smell over the taste."
119,Sculpin,4.58,
120,KBS,4.77,"Looks: Beautiful, tan, creamy head over dark brown beer.
Smell: Coffee, bourbon, alcohol, just a little subdued
Taste: This is not subtle. Sweet without being sugary. Bourbon, coffee, chocolate and some alcohol. More balanced than something like Dragon’s Milk that is a little too sugary.
Feel: Thick and just a little effervescent.
Overall: Yum. My favorite stout, I think."
121,KBS,4.21,
122,KBS,4.7,
123,KBS,5.44,
124,KBS,4.22,"Not much left to say. The barrel flavors are there, and they’re not vaguely barrel-like. Oh, and it’s not a sugar bomb. The feel is what stands out the most. Creamy full, and slightly alcoholic at the end. Fantastic."
125,KBS,4.88,"This is one of my favorite beers I have ever had. It has become my standard to compare other stouts, but nothing has compared to Founders so far. My only complaint is that there seems to be slight differences in taste and feel from batch to batch. However, there is a good chance that it's just a misperception on my part. I have always enjoyed every single one. This one is pretty pricey, but it's worth it 100%."
126,KBS,4.79,
127,KBS,4.98,"Really good stout, rivals Dragons Milk which is my favorite readily available stout. Dragons milk has a little bit of a sweet note that I don’t love, and I didn’t detect that with KBS. I do think KBS has a stronger alcohol taste, but I only noticed it on the first couple drinks. Very easy to drink beer, for being 12 ABV."
128,KBS,5.0,"Not for all but all must try. 
Dark chocolate and coffee fun welcome."
129,KBS,5.0,
130,KBS,4.36,
131,KBS,3.84,"KBS always pours great, deep dark black and smells really great if you like bourbon. The mouth feel is a medium body with that bourbon smell turning into a subtle taste. Becomes more dark chocolate bitter forward as you drink it. The fresher the beer the more bite the bourbon taste has."
132,KBS,3.9,
133,KBS,4.71,
134,KBS,4.66,
135,KBS,4.5,
136,KBS,4.81,
137,KBS,4.5,
138,KBS,4.64,"Super good, but not as good as the Toppling Goliath ..."
139,KBS,4.35,"Bottled on 1.31.23

Poured at fridge temp into a tulip glass.

Pours jet-motor-oil-black with a rich and creamy 1.5 finger mocha colored head. 4.25

Sweet and boozy bourbon vanilla and notes coming off the bottle, pour in the glass gives the same. Coffee peeks out as well, though lightly as it warms up. Bumping this up two notches because it gets richer and sweeter as it warms up. 4.75

Bourbon and boozy forward, fairly bitter coffee followed by some earthy chocolate and touch of hops. 4.25

Very warming- slight boozy burn, silky smooth with some light carbo bite. 4

Overall a nice sipper that makes full and excellent use of the bourbon. Aroma and taste are quite delightful and well crafted. 4.25"
140,Hopslam Ale,5.28,
141,Hopslam Ale,4.48,Excellent DIPA. One of the best. Only drawback is that it has a pretty strong alcoholic aroma and taste which people may not prefer. Really good but just not quite in the same level as a Heady Topper or Pliny the Elder.
142,Hopslam Ale,5.0,"This is the best Imperial IPA. 4.45/5 is too low. Firstly, the smell and taste is exactly what a West Coast Imperial IPA should taste like. The hops are complex and massive, but balanced with the malt and the sweetness. The overall taste is not like a 10% ABV beer, but tastes more like something that is 8%. I would really like to compare it to both Heady Topper and Pliny the Elder, but this is the best beer that Bells Brewery makes."
143,Hopslam Ale,4.48,
144,Hopslam Ale,4.49,
145,Hopslam Ale,6.1,
146,Hopslam Ale,7.49,
147,Hopslam Ale,4.16,
148,Hopslam Ale,4.2,"Was expecting a little better with such a high rating. Overall it is definitely better than most, would probably buy again."
149,Hopslam Ale,3.5,
150,Hopslam Ale,3.48,"Here's a hot take: I don't think this is a good beer. Perhaps I got a bad batch last time, but it just didn't have the flavor profile I'd expect from a beer that almost cracks the top 250. The honey seemed to reduce the supposed ""Hopslam"" down to more of a ""hop nudge"". This meant any flavor complexity seemed to disappear as well. In this case, I think the high ABV is also detrimental as it tastes very alcoholic, and therefore heavy. Too bad, 'cause it's a heck of a value at Costco."
151,Hopslam Ale,4.28,"In a flight at British Open Pub. Oh my goodness. Complex and over the top in all the tight ways. A strong hops palate but also a strong malt backbone. Kinda boozy, but it's New Year's Eve."
152,Hopslam Ale,4.55,"Poured from 12oz can to a tulip glass. Look is fairly clear burnt orange/amber color with a foamy ivory head that takes a while to fall to a nice cap. Sits pretty still in the glass. Smell is pine, melon, caramel apple. Aroma is present but not powerful. Taste is pretty sweet up front with a hit of cantaloupe and citrus. Middle gets a shot of bitterness, but nothing too bracing. Middle sees more fruit flavor like apple and citrus. A bit of pine hits in the finish but it's balanced by a floral, honey sweetness. Balance is a key characteristic here. Aftertaste is apples, caramel and honey. Feel is medium bodied and smooth, smooth, smooth. A low carbonation pops up, but boy this is easy to drink. Overall, I should have tried this years ago, but balked at the price. This is tasty, balanced pretty well between hop bitterness and malt sweetness. Way too easy to drink given the 10% abv. I am a fan of this one though."
153,Hopslam Ale,4.79,
154,Hopslam Ale,4.46,
155,Hopslam Ale,4.66,"Still one of the best DIPAs on the planet even in 2022 with all the ""competition."" What makes this beer for me is the mouthfeel. It's thick and chewy without being syrupy. Wish this was around all year."
156,Hopslam Ale,4.43,
157,Hopslam Ale,5.0,
158,Hopslam Ale,4.72,
159,Hopslam Ale,4.15,
160,Bourbon County Brand Stout,5.5,
161,Bourbon County Brand Stout,5.0,"Goose Island Bourbon County imperial stout. 

Now I must say, this is quite quite good. Like very good. Somewhere between a good stout and an aged whiskey, which isn't a surprise based on the drink itself. That being said, it does not exemplify the thing I like most about beer so far being, drinkability. I do like the refreshing nature of a beer quite a bit and that is the only thing I'd say is absent here. 

At 14.3 percent, it's quite high for a beer, and you feel a lingering alcohol taste towards the end. It is accompanied by some sweet notes like date and chocolate though. 

Mouthfeel is very unique in that somehow the bubbles feel thick. Like the consistency is buttery and but the bubbles feel heavy for some reason bringing out a very odd and unique, but not off putting, almost soupy texture. Mouthfeel end notes are sticky and also a little velvety or caramel-like. 

Smell is a little sour and very malt forward, slightly fruity and even slightly-er herby. 

If you haven't tried it, I highly recommend. I've been sipping as I write this and am appreciating it more and more. One hell of a beer. If you do grab one, the only thing I can say is that it's not smashable, but should be enjoyed slowly."
162,Bourbon County Brand Stout,4.46,
163,Bourbon County Brand Stout,4.55,
164,Bourbon County Brand Stout,4.21,
165,Bourbon County Brand Stout,4.86,"Finally getting to try this. 2022 vintage, poured from bottle into a snifter.

Look: Black-brown-red, thick, oily. Very thin light brown head, no retention except a tiny ring. 

Smell: Oh wow. Damn, this is pulling no punches. Chocolate, coffee, caramel, malt, bourbon, dark bread, and the tiniest hints of vanilla beans, raisins, and bananas. Incredibly complex.

Taste: YUUUUUP. Heavyweight, but incredibly smooth at the same time. Lots of the chocolate, with the vanilla bean and caramel notes playing second and third fiddle. Heavy maltiness and bourbon character, but still incredibly smooth with very little burn for the ABV. Raisin note is slightly present in the back, as well as the faintest banana peeking through once the malt onslaught begins to fade.

Feel: Thick but only slightly oily on the palette, light but lingering carbonation. Sticks around a bit, but in a pleasant way and doesn't overstay its welcome. Very slightly syrupy. Really pleasant.

Overall: Masterclass of an imperial stout. Has more distinct flavour impressions than most stouts with adjuncts, but is still perfectly balanced. Deserves the hype."
166,Bourbon County Brand Stout,4.93,
167,Bourbon County Brand Stout,4.45,"Opened the 2019 bottle that has been aging in my cellar. Poured into a tulip glass. The chocolate colored head quickly dissipated. Midnight color, smell was extraordinary complex consisting of a beautiful bouquet of chocolate, alcohol, fine whiskey, and espresso. Taste was exceedingly complex. The stout lingered on my palate forever, it seemed. Take your time to sip this beauty as it has a high alcohol content. Overall, a warm stout to enjoy in the midst of a winter storm, near a fireplace. Well done."
168,Bourbon County Brand Stout,4.59,
169,Bourbon County Brand Stout,4.61,
170,Bourbon County Brand Stout,4.65,"2022.

A- Pours a beautiful black oily color, perfectly opaque. Hardly any head

S-Wow. Rich chocolate, plums, oak,espresso, a bit of whiskey. Probably the best smelling beer I’ve had the pleasure of smelling. 

T-Chocolate, bourbon, oaky goodness, raisins, coffee. Can’t believe this is 14.5 percent ABV. 

M- Rich and oily

O- It’s incredible. It lives up to the hype."
171,Bourbon County Brand Stout,4.91,"Pours a deep brown, nearly black.

The smell is very reminiscent of whiskey due to the barrel aging. Slight alcohol tinge, but very fruity and sweet smelling. The smell is like raisins or figs. There is a slight fermentation flavor that reminds me of wine, likely due to the high ABV.

The flavor is very sweet and low in bitterness. The flavor is extremely malty, and fruity. The taste seems like a cross between a high malt beer, a wine, and a bourbon. Notes of figs, raisins, trailed by syruppy molasses and fermentation flavors.

The mouthfeel is thick and syrupy.

A very excellent beer"
172,Bourbon County Brand Stout,4.75,"This is my favorite stout beer. Since I live in the Chicago area, it's easily accessible. I see some reviews that state KBS is as good or better. I'm writing this review to say that is false."
173,Bourbon County Brand Stout,5.0,
174,Bourbon County Brand Stout,4.74,
175,Bourbon County Brand Stout,4.75,"Pours very dark. Dark tan foam. Heavy bourbon aroma. Big flavors. Chocolate, caramel, and oak. Very complex but well balanced. Strong alcohol finish. Beyond excellent. Best imperial stout I've ever had."
176,Bourbon County Brand Stout,6.36,
177,Bourbon County Brand Stout,4.83,"Look: Pours obsidian black with a very light, copper-colored head.

Smell: Strong whiskey and vanilla aromas, along with fudge and coffee.

Taste: Silky smooth bourbon and vanilla taste, I’m also getting the hints of chocolate and coffee, and there is also some caramel going on as well. The oak is present as it goes down and just finished the taste perfectly.

Feel: Man this is too smooth for how heavy it is. The feel is heavy but this is easily drinkable and just paints the palette with a velvety finish.

Overall: Absolute dynamite for the style, this is one of the best out there and lives up to the hype."
178,Bourbon County Brand Stout,4.57,
